City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,bathsheba,13.2167,-59.5167,25.17,75,9,7.44,BB,1679447753
290,tianpeng,30.9866,103.9393,13.72,90,100,1.32,CN,1679447753
291,southbridge,42.0751,-72.0334,10.06,78,52,0.7,US,1679447754
292,lumberton,34.6182,-79.0086,11.92,50,0,1.54,US,1679447493
293,belluno,46.145,12.2214,12.62,81,100,0.45,IT,1679447754
294,kaputa,-8.4689,29.6619,18.81,94,100,1.74,ZM,1679447755
295,yuma,32.7253,-114.6244,19.93,55,75,4.12,US,1679447755
296,serebryansk,49.6925,83.2892,-15.97,96,91,1.46,KZ,1679447756
297,jutai,-5.1833,-68.9,25.47,79,96,0.52,BR,1679447756
298,ler,8.3018,30.1418,25.19,16,5,2.06,SS,1679447757
299,labuhan,-6.8844,112.2051,27.25,81,96,1.64,ID,1679447757
300,vardo,70.3705,31.1107,-8.01,79,100,5.66,NO,1679447758
301,faya,18.3851,42.4509,7.29,32,1,1.33,SA,1679447758
302,vila franca do campo,37.7167,-25.4333,16.23,95,100,3.16,PT,1679447759
303,taltal,-25.4,-70.4833,22.09,80,8,1.26,CL,1679447759
304,laviana,43.2333,-5.5333,10.41,74,100,1.4,ES,1679447759
305,gravelbourg,49.8834,-106.5512,-9.85,96,95,1.17,CA,1679447760
306,axim,4.8699,-2.2405,27.16,82,100,4.02,GH,1679447760
307,union,40.6334,-74.2663,14.5,25,0,5.66,US,1679447463
308,aswan,24.0934,32.907,16.61,39,0,0.0,EG,1679447761
309,tabuk,17.4189,121.4443,26.81,62,9,2.09,PH,1679447761
310,bosaso,11.2842,49.1816,27.49,77,3,1.53,SO,1679447762
311,paamiut,61.994,-49.6678,-10.55,90,37,3.75,GL,1679447763
312,sisimiut,66.9395,-53.6735,-15.3,94,55,4.19,GL,1679447763
313,haapiti,-17.5667,-149.8667,30.85,77,69,5.09,PF,1679447764
314,geraldton,-28.7667,114.6,23.23,83,75,3.6,AU,1679447764
315,athabasca,54.7169,-113.2854,-4.77,81,12,1.65,CA,1679447765
316,three hills,51.7001,-113.2686,-6.33,81,12,1.25,CA,1679447566
317,shingu,33.7333,135.9833,17.55,80,100,2.7,JP,1679447766
318,dukat,62.55,155.55,-22.87,87,95,1.94,RU,1679447766
319,caucaia,-3.7361,-38.6531,26.13,79,0,2.06,BR,1679447767
320,teya,60.3778,92.6267,-15.79,99,97,1.92,RU,1679447768
321,panjab,34.388,67.0233,-1.19,84,89,1.69,AF,1679447769
322,rio gallegos,-51.6226,-69.2181,13.03,47,40,3.6,AR,1679447770
323,korla,41.7597,86.1469,5.02,34,0,2.5,CN,1679447770
324,san cristobal,7.7669,-72.225,21.1,74,99,0.41,VE,1679447772
325,xuddur,4.1213,43.8894,24.83,76,28,6.06,SO,1679447773
326,nsukka,6.8561,7.3927,22.07,93,100,2.43,NG,1679447773
327,gorgan,36.8387,54.4348,9.98,100,100,2.06,IR,1679447773
328,norrtalje,59.758,18.705,1.91,96,100,3.13,SE,1679447774
329,lompoc,34.6391,-120.4579,11.96,78,100,8.49,US,1679447774
330,kodiak,57.79,-152.4072,2.73,60,75,4.12,US,1679447580
331,ulladulla,-35.35,150.4667,25.24,53,52,2.38,AU,1679447775
332,simojovel,17.1391,-92.7103,20.97,93,52,0.96,MX,1679447776
333,funtua,11.5233,7.3081,22.49,59,100,3.88,NG,1679447777
334,tuatapere,-46.1333,167.6833,11.65,63,98,3.17,NZ,1679447777
335,saint anthony,45.0205,-93.218,3.78,72,100,5.66,US,1679447778
336,yarmouth,41.7057,-70.2286,8.03,64,0,4.12,US,1679447779
337,yamada,39.4667,141.95,14.11,55,0,2.22,JP,1679447779
338,kampong thum,12.7111,104.8887,29.1,60,23,4.65,KH,1679447780
339,grand gaube,-20.0064,57.6608,25.22,80,7,6.12,MU,1679447780
340,nusaybin,37.0778,41.2178,11.12,80,100,2.17,TR,1679447781
341,otjimbingwe,-22.35,16.1333,19.98,34,9,0.1,NA,1679447781
342,guarapari,-20.6667,-40.4975,26.05,90,6,3.34,BR,1679447782
343,sembe,1.6481,14.5806,20.5,99,100,0.84,CG,1679447783
344,lata,40.1629,-8.3327,9.49,93,100,0.6,PT,1679447783
345,deniliquin,-35.5333,144.9667,24.12,61,38,3.34,AU,1679447783
346,hay river,60.8156,-115.7999,-6.35,89,8,3.7,CA,1679447491
347,poykovskiy,61.2333,73.3333,-2.84,68,75,5.0,RU,1679447784
348,bagli,22.65,76.35,20.34,44,80,1.65,IN,1679447785
349,teahupoo,-17.8333,-149.2667,27.98,78,10,6.02,PF,1679447786
350,zaozerne,45.1582,33.2787,9.33,70,100,1.33,UA,1679447786
351,giyani,-23.3025,30.7187,19.22,75,8,0.61,ZA,1679447786
